[ 0.  0.  0.],[-7.27802182  1.4379371   0.        ],[-14.43031739  27.37005281   0.        ],[-4.61285109 -4.23906705  0.        ],[ 1734.58903101],[ 1734.58903101],15.3058263367
[ 0.  0.  0.],[-4.88139711 -2.52460214  0.        ],[-25.57288587  -0.89235155   0.        ],[ 0.26285062 -2.64466099  0.        ],[ 1690.17506249],[ 1690.17506249],11.6984271558
[ 0.  0.  0.],[-6.17168301 -5.55379811  0.        ],[-67.30635506 -65.1444827    0.        ],[ 7.49903818  7.68987884  0.        ],[ 1744.5900888],[ 1744.5900888],50.2185487122
[ 0.  0.  0.],[-6.40390973 -1.17414154  0.        ],[-24.63911316 -54.54858995   0.        ],[ -1.52105848  10.03218659   0.        ],[ 1818.16680429],[ 1818.16680429],33.0722590461
[ 0.  0.  0.],[ 8.09859684 -3.68613213  0.        ],[ 57.63506666 -58.52456109   0.        ],[-3.54635383  8.29462568  0.        ],[ 1786.86180735],[ 1786.86180735],43.6202472662
[ 0.  0.  0.],[-5.6586537   5.93249717  0.        ],[-17.5254219   51.71512939   0.        ],[-2.28519968 -4.68010884  0.        ],[ 1690.02631538],[ 1690.02631538],29.1328580495
[ 0.  0.  0.],[-7.0626293  -1.43362707  0.        ],[-46.0198489  -47.46003474   0.        ],[ 2.21838527  8.34831798  0.        ],[ 1802.97557632],[ 1802.97557632],36.3007833754
[ 0.  0.  0.],[ 7.51564302 -4.13297684  0.        ],[ 89.24198923  30.31539179   0.        ],[-10.5462947  -10.40676999   0.        ],[ 1908.78267441],[ 1908.78267441],51.0532364469
[ 0.  0.  0.],[-1.58418438  8.6512608   0.        ],[ -7.75200972  54.37893815   0.        ],[-0.03833781 -2.52449224  0.        ],[ 1713.82625303],[ 1713.82625303],29.8952899674
[ 0.  0.  0.],[-5.31605699 -0.57078128  0.        ],[-39.97429648  -6.64880461   0.        ],[ 2.96744073  0.84075898  0.        ],[ 1689.75549724],[ 1689.75549724],20.239369018
[ 0.  0.  0.],[-7.08093182  0.12597898  0.        ],[-28.22473994   9.83156531   0.        ],[-1.62053518 -2.07685215  0.        ],[ 1711.10143491],[ 1711.10143491],13.8858158043
[ 0.  0.  0.],[-5.35694286  8.30923447  0.        ],[-20.77099052  96.75483189   0.        ],[ -1.23523075 -11.33996782   0.        ],[ 1874.26462477],[ 1874.26462477],52.45784815
[ 0.  0.  0.],[ 0.81451561  7.68731427  0.        ],[ 16.37803452  49.49532474   0.        ],[-2.68422516 -2.41227817  0.        ],[ 1716.77066671],[ 1716.77066671],28.1235082375
[ 0.  0.  0.],[ 4.741944   -7.65774268  0.        ],[ 35.28474606 -26.67408519   0.        ],[-2.52677467 -2.53541963  0.        ],[ 1788.04172011],[ 1788.04172011],24.8406122051
[ 0.  0.  0.],[-4.64371291 -2.14733976  0.        ],[-40.74337371  10.35124351   0.        ],[ 3.69670396 -4.44831547  0.        ],[ 1710.59987642],[ 1710.59987642],22.3716682367
[ 0.  0.  0.],[ 3.49559908 -9.08169075  0.        ],[ -6.42896521 -47.22626131   0.        ],[ 5.08052863  0.38630688  0.        ],[ 1791.57894011],[ 1791.57894011],23.8566657267
[ 0.  0.  0.],[-4.98245089 -7.25457844  0.        ],[-27.35553707 -44.70831005   0.        ],[ 0.57211968  1.9752396   0.        ],[ 1768.14935598],[ 1768.14935598],29.0396334113
[ 0.  0.  0.],[-5.97287436 -3.41787806  0.        ],[-31.00213702 -26.12957637   0.        ],[ 0.26501444  2.1056891   0.        ],[ 1699.89660147],[ 1699.89660147],23.0621929287
[ 0.  0.  0.],[ 3.93870351  7.63587134  0.        ],[  0.58863546 -25.96733124   0.        ],[  3.90660852  13.11685653   0.        ],[ 1896.49550691],[ 1896.49550691],14.6152566126
[ 0.  0.  0.],[ 1.91006066  6.96169969  0.        ],[ 37.10197898  28.11481733   0.        ],[-5.80185504  1.409561    0.        ],[ 1723.21993442],[ 1723.21993442],24.288624875
[ 0.  0.  0.],[ 7.09131606  1.16630935  0.        ],[ 39.9461728    5.24834085   0.        ],[-1.19541892  0.155287    0.        ],[ 1681.39777843],[ 1681.39777843],22.1270822788
[ 0.  0.  0.],[-3.77196663 -4.28009779  0.        ],[-23.04933473 -53.18788536   0.        ],[ 0.87710058  6.65490716  0.        ],[ 1707.86754318],[ 1707.86754318],31.9323606169
[ 0.  0.  0.],[ 2.23625414  6.58074406  0.        ],[ 15.17135042  37.49309692   0.        ],[-0.99485038 -1.14427366  0.        ],[ 1682.04898014],[ 1682.04898014],22.2147194082
[ 0.  0.  0.],[ 6.2288464  -7.69755187  0.        ],[ 24.60759166 -46.29005875   0.        ],[ 1.49998673  1.79042213  0.        ],[ 1781.7353911],[ 1781.7353911],26.9510875907
[ 0.  0.  0.],[-8.78153823  3.57269161  0.        ],[-30.19981206  53.70898429   0.        ],[-2.84873232 -7.44931497  0.        ],[ 1865.93591864],[ 1865.93591864],32.030200011
[ 0.  0.  0.],[-0.29963528  6.77097837  0.        ],[ 16.64497027   8.85268034   0.        ],[-3.8048249   5.24324906  0.        ],[ 1720.51647293],[ 1720.51647293],8.9529115342
[ 0.  0.  0.],[-7.25402107  6.12614337  0.        ],[-19.79650862  24.38897384   0.        ],[-3.57525734  1.3546427   0.        ],[ 1721.99485998],[ 1721.99485998],14.4361413008
[ 0.  0.  0.],[-4.22875232  5.39489362  0.        ],[ 24.98873635  59.33304383   0.        ],[-9.4721044  -6.64398898  0.        ],[ 1885.6058498],[ 1885.6058498],34.9146884831
[ 0.  0.  0.],[-5.92995772 -8.03344781  0.        ],[-69.60368773 -36.78055919   0.        ],[ 8.28970785 -0.70267451  0.        ],[ 1833.96318726],[ 1833.96318726],41.500983211
[ 0.  0.  0.],[ 5.04506895  5.97453272  0.        ],[-12.44342832  60.89506066   0.        ],[ 7.7653305  -6.39519545  0.        ],[ 1738.74913918],[ 1738.74913918],34.9054421372
[ 0.  0.  0.],[ 8.81922513  2.08938658  0.        ],[ 36.43450318   0.74616815   0.        ],[ 1.71826448  2.1755809   0.        ],[ 1729.12871737],[ 1729.12871737],17.95293316
[ 0.  0.  0.],[ 1.49206347  8.18815975  0.        ],[  9.4490164   24.26095263   0.        ],[-0.43325656  3.6338594   0.        ],[ 1737.16333777],[ 1737.16333777],15.4599301627
[ 0.  0.  0.],[ 2.52644073 -6.08956293  0.        ],[ 44.95656519 -31.68166514   0.        ],[-6.76465399  0.25821304  0.        ],[ 1734.21263761],[ 1734.21263761],30.5805398078
[ 0.  0.  0.],[-2.16389451  9.67715544  0.        ],[ 47.6404035   70.21195048   0.        ],[-11.97302585  -4.47016577   0.        ],[ 1976.67577442],[ 1976.67577442],44.8998011189
[ 0.  0.  0.],[-6.95705833  5.34311403  0.        ],[-41.5966618   27.35897731   0.        ],[ 1.6609445  -0.15689407  0.        ],[ 1707.73430239],[ 1707.73430239],27.8157966558
